timestamp,x_robot_mm,y_robot_mm,z_robot_mm,angle_deg,pixel_size,area
1772013293.986187,625.45,-24.61,519.48,84.81,142.6,17795
1772013294.0158257,625.42,-24.58,519.87,85.1,142.8,17833
1772013294.0416756,625.44,-24.59,519.65,85.03,142.7,17823
1772013294.0697737,625.46,-24.61,519.48,84.81,142.6,17824
1772013294.1025343,625.44,-24.59,519.73,84.9,142.7,17805
1772013294.1269538,625.53,-24.66,518.7,83.83,142.2,17763
1772013294.152056,625.53,-24.65,518.7,83.83,142.2,17753
1772013294.180142,625.54,-24.65,518.63,83.99,142.2,17734
1772013294.2073014,625.54,-24.64,518.63,83.99,142.2,17769
1772013294.2348533,625.46,-24.58,519.48,84.81,142.6,17785
1772013294.2619202,625.54,-24.64,518.63,83.99,142.2,17747
1772013294.2943923,625.54,-24.64,518.63,83.99,142.2,17737
1772013294.326047,625.44,-24.56,519.68,85.07,142.7,17750
1772013294.3604438,625.54,-24.64,518.7,83.83,142.2,17758
1772013294.3934464,625.45,-24.56,519.65,85.03,142.7,17796
1772013294.426214,625.45,-24.57,519.65,85.03,142.7,17777
1772013294.4608133,625.55,-24.66,518.56,83.66,142.1,17800
1772013294.5098662,625.61,-24.66,518.1,85.67,141.9,13234
1772013294.69623,625.46,-24.65,518.97,83.83,142.3,17784
1772013294.7273636,625.39,-24.58,519.77,84.96,142.7,17768
1772013294.761192,625.47,-24.66,519.04,83.99,142.4,17756
1772013294.7931354,625.38,-24.61,520.02,85.07,142.9,17777
1772013294.8266683,625.48,-24.71,519.04,83.99,142.4,17782
1772013294.8607044,625.53,-24.75,518.7,83.83,142.2,17759
1772013294.8930752,625.44,-24.66,519.7,85.1,142.7,17762
1772013294.926697,625.54,-24.73,518.63,83.99,142.2,17754
1772013294.9597504,625.46,-24.65,519.48,84.81,142.6,17764
1772013294.9915369,625.54,-24.7,518.63,83.99,142.2,17752
1772013295.0270886,625.54,-24.69,518.63,83.99,142.2,17760
1772013295.067445,625.46,-24.6,519.6,84.96,142.7,17752
1772013295.10456,625.42,-24.57,519.96,85.24,142.8,17757
1772013295.1426015,625.44,-24.59,519.8,85.24,142.8,17754
1772013295.1852896,625.44,-24.59,519.8,85.24,142.8,17765
1772013295.2223155,625.44,-24.59,519.8,85.24,142.8,17786
1772013295.261708,625.44,-24.59,519.8,85.24,142.8,17787
1772013295.30486,625.47,-24.61,519.57,84.92,142.6,17761
1772013295.3433049,625.47,-24.61,519.57,84.92,142.6,17800
1772013295.3831277,625.44,-24.58,519.92,85.17,142.8,17767
1772013295.421845,625.44,-24.58,519.89,85.14,142.8,17786
1772013295.459061,625.43,-24.58,519.89,85.14,142.8,17786
1772013295.4993787,625.46,-24.61,519.56,85.14,142.6,17772
1772013295.5388072,625.41,-24.57,520.06,85.14,142.9,17806
1772013295.577936,625.42,-24.59,519.89,85.14,142.8,17779
1772013295.616755,625.42,-24.59,519.84,84.81,142.8,17801
1772013295.6582801,625.4,-24.57,520.06,85.14,142.9,17798
1772013295.6976306,625.4,-24.57,520.06,85.14,142.9,17798
1772013295.7377653,625.41,-24.58,519.96,85.24,142.8,17796
1772013295.7804866,625.42,-24.6,519.8,85.24,142.8,17802
1772013295.8311145,625.42,-24.6,519.8,85.24,142.8,17802
1772013295.8627932,625.4,-24.59,519.96,85.24,142.8,17814
1772013296.0983205,625.36,-24.77,518.88,84.29,142.3,17755
1772013296.2953644,625.29,-24.61,519.48,84.56,142.6,17676
1772013296.3281698,625.3,-24.57,519.82,85.03,142.8,17693
1772013296.362688,625.31,-24.54,520.13,85.24,142.9,17702
1772013296.3956945,625.35,-24.53,520.13,85.24,142.9,17698
1772013296.4294653,625.39,-24.54,519.96,85.24,142.8,17697
1772013296.463265,625.41,-24.54,519.96,85.24,142.8,17694
1772013296.496178,625.46,-24.57,519.66,84.81,142.7,17685
1772013296.529793,625.47,-24.56,519.66,84.81,142.7,17681
1772013296.562225,625.49,-24.56,519.66,84.81,142.7,17681
1772013296.5971525,625.46,-24.54,519.96,85.24,142.8,17679
1772013296.628975,625.46,-24.55,519.96,85.24,142.8,17680
1772013296.6636431,625.48,-24.56,519.85,85.07,142.8,17695
1772013296.699062,625.45,-24.54,520.13,85.24,142.9,17686
1772013296.734161,625.46,-24.56,519.96,85.24,142.8,17683
1772013296.7714617,625.46,-24.57,519.96,85.24,142.8,17691
1772013296.8058226,625.45,-24.58,519.96,85.24,142.8,17688
1772013296.838471,625.43,-24.57,520.13,85.24,142.9,17716
1772013296.8686213,625.42,-24.6,520.16,85.03,142.9,17778
1772013296.8988075,625.42,-24.62,520.16,85.03,142.9,17778
1772013296.9287016,625.43,-24.63,519.99,85.03,142.9,17773
1772013296.9705393,625.44,-24.64,519.84,84.81,142.8,17781
1772013296.9981282,625.44,-24.63,519.84,84.81,142.8,17789
1772013297.028929,625.46,-24.64,519.66,84.81,142.7,17790
1772013297.0630658,625.42,-24.6,520.06,85.14,142.9,17768
1772013297.1020272,625.57,-24.72,518.49,83.83,142.1,17734
1772013297.1390178,625.58,-24.7,518.49,83.83,142.1,17734
1772013297.1703932,625.54,-24.65,518.84,83.99,142.3,17714
1772013297.2036722,625.38,-24.52,520.45,85.76,143.1,17754
1772013297.2561097,625.54,-24.65,518.7,83.83,142.2,17749
1772013297.2832446,625.55,-24.63,518.78,83.66,142.2,17789
1772013297.3361356,625.54,-24.6,518.92,83.83,142.3,17813
1772013297.362612,625.55,-24.59,518.92,83.83,142.3,17813
1772013297.3895264,625.56,-24.6,518.76,84.14,142.2,17786
1772013297.4166439,625.55,-24.6,518.69,84.29,142.2,17800
1772013297.4442852,625.54,-24.59,518.76,84.14,142.2,17801
1772013297.4693077,625.54,-24.59,518.76,84.14,142.2,17801
1772013297.4953814,625.55,-24.59,518.7,83.83,142.2,17792
1772013297.5263476,625.55,-24.59,518.7,83.83,142.2,17827
1772013297.56051,625.55,-24.6,518.63,83.99,142.2,17806
1772013297.5941904,625.55,-24.58,518.78,83.66,142.2,17796
1772013297.6273634,625.54,-24.61,518.84,83.99,142.3,17773
1772013297.6624093,625.58,-24.64,518.42,83.99,142.1,17795
1772013297.6953447,625.56,-24.62,518.63,83.99,142.2,17796
1772013297.727344,625.55,-24.62,518.63,83.99,142.2,17824
1772013297.761649,625.55,-24.62,518.63,83.99,142.2,17824
